protein_file,score,vina_score,features,label
/home/sl160/vina_docking_results/186l_protein_H.pdb,3.762094726504338,7.28,"[-0.6931472, -0.6931472, -0.690491, -0.6931472, -0.6931472, -0.6931469, -0.69314414, 18.591513]",False
/home/sl160/vina_docking_results/1a4m_protein_H.pdb,5.682911877915128,8.633,"[-0.6931472, -0.6931472, 21.457481, -0.6931472, -0.6931472, -0.6931472, -0.6931472, 27.497347]",True
/home/sl160/vina_docking_results/1a4r_protein_H.pdb,5.671829209718738,8.504,"[-0.6931472, -0.6931472, 14.075754, -0.6931472, -0.6931472, -0.6931472, -0.69314235, 28.103025]",True
/home/sl160/vina_docking_results/1a4q_protein_H.pdb,6.560463904392616,8.444,"[-0.6931472, -0.6931472, 17.740448, -0.6931472, -0.6931472, -0.6931472, -0.6931472, 32.819336]",True
/home/sl160/vina_docking_results/1a9u_protein_H.pdb,5.999069221287608,9.204,"[-0.6931472, -0.6931472, -0.6931472, -0.6931472, -0.6931472, -0.6928206, -0.6931472, 31.300207]",True
/home/sl160/vina_docking_results/1acj_protein_H.pdb,4.893754961031206,9.545,"[-0.6931472, -0.6931472, 28.56934, -0.6931472, -0.6931472, -0.6931472, -0.69209576, 22.369616]",True
/home/sl160/vina_docking_results/1a8t_protein_H.pdb,6.171256066429283,8.598,"[-0.6931472, -0.6931472, 28.645916, -0.6931472, -0.6931472, -0.6931472, -0.6931472, 29.620462]",True
/home/sl160/vina_docking_results/1agw_protein_H.pdb,4.912179934539896,7.981,"[-0.6931472, -0.6931472, -0.6931472, -0.6931472, -0.6931472, -0.69311965, -0.6931472, 25.125326]",False
/home/sl160/vina_docking_results/1ag9_protein_H.pdb,18.044500370299303,10.277,"[-0.6931472, -0.6931472, 50.198807, -0.6931472, -0.6931472, -0.6931472, -0.693147, 95.11911]",True
/home/sl160/vina_docking_results/1aaq_protein_H.pdb,11.461004244504265,8.767,"[-0.6931472, -0.6931472, -0.6062167, -0.6931472, -0.6931472, -0.6931472, -0.6931472, 62.320736]",True
/home/sl160/vina_docking_results/1al7_protein_H.pdb,5.287317269043967,6.82,"[-0.6931472, -0.6931472, 16.943596, -0.6931472, -0.6931472, -0.6931472, 6.6913257, 22.817585]",False
/home/sl160/vina_docking_results/1al8_protein_H.pdb,4.537384039556016,5.817,"[-0.6931472, -0.6931472, -0.6817815, -0.6931472, -0.6931472, -0.6931346, -0.6931382, 22.995089]",False
/home/sl160/vina_docking_results/1amk_protein_H.pdb,4.447952271644764,4.939,"[-0.6931472, -0.6931472, 0.7175709, -0.6931472, -0.6931472, -0.6931465, -0.61570597, 22.330473]",False
/home/sl160/vina_docking_results/1agm_protein_H.pdb,7.163108823066793,8.338,"[-0.6931472, -0.6931472, 27.433067, -0.6931472, -0.6931472, -0.6931472, -0.46551263, 35.277367]",True
/home/sl160/vina_docking_results/1aq1_protein_H.pdb,6.694518076768159,13.846,"[-0.6931472, -0.6931472, -0.6931472, -0.6931472, -0.6931472, -0.6909165, -0.6931472, 35.253258]",True
/home/sl160/vina_docking_results/1a7x_protein_H.pdb,13.681263923529484,9.48,"[-0.6931472, -0.6931472, 0.4587835, -0.6931472, -0.6931472, -0.6931472, -0.6931472, 74.83738]",True
/home/sl160/vina_docking_results/1aj6_protein_H.pdb,6.207248683323914,8.192,"[-0.6931472, -0.6931472, 1.1867173, -0.6931472, -0.6931472, -0.6931472, -0.6931472, 32.31219]",True
/home/sl160/vina_docking_results/1avd_protein_H.pdb,-1.5189253099209816,7.677,"[-0.17083257, -0.6931123, 5.207054, 5.2829676, -0.69218326, 2.2397895, -0.64117575, 2.6883662]",False
/home/sl160/vina_docking_results/1aqi_protein_H.pdb,3.941592213822431,7.131,"[-0.6931472, -0.6931472, 2.081899, -0.6931472, -0.6931472, -0.6931472, -0.69314706, 19.3601]",False
/home/sl160/vina_docking_results/1ao8_protein_H.pdb,5.880159390890428,8.309,"[-0.6931472, -0.6931472, 6.185771, -0.6931472, -0.6931472, -0.6931472, -0.69309694, 30.001188]",True
/home/sl160/vina_docking_results/1axz_protein_H.pdb,3.931752444920732,5.259,"[-0.6931472, -0.6931472, 26.445526, -0.693147, -0.6931472, -0.6931472, -0.6917284, 17.096796]",False
/home/sl160/vina_docking_results/1axr_protein_H.pdb,4.707125645715772,7.237,"[-0.6931472, -0.6931472, 22.553782, -0.6931472, -0.6931472, -0.6931472, -0.6858437, 21.851875]",False
/home/sl160/vina_docking_results/1b2i_protein_H.pdb,3.2169916576931987,5.109,"[-0.6931472, -0.6931472, 4.903623, -0.6931472, -0.6931472, -0.6931469, 1.8684368, 14.002504]",False
/home/sl160/vina_docking_results/1b42_protein_H.pdb,3.86512112169088,5.635,"[-0.6931472, -0.6931472, 6.5215516, -0.6931472, -0.6931472, -0.6931464, -0.6128491, 18.492634]",False
/home/sl160/vina_docking_results/1au2_protein_H.pdb,6.189998635672643,7.933,"[-0.6931472, -0.6931472, 40.73251, -0.6931472, -0.6931472, -0.6931472, -0.6931468, 28.63213]",False
/home/sl160/vina_docking_results/1b4d_protein_H.pdb,5.550393088202128,8.186,"[-0.6931472, -0.6931472, 44.3101, -0.6931472, -0.6931472, -0.6931472, -0.69314533, 24.674528]",True
/home/sl160/vina_docking_results/1b56_protein_H.pdb,6.27171610952114,5.893,"[-0.6931472, -0.6931472, -0.5842604, -0.6931472, -0.6931472, -0.6931472, -0.5600537, 32.787632]",False
